"ANHO";"MES";"UBIGEO";"DEPARTAMENTO";"PROVINCIA";"DISTRITO";"SECTOR";"CATEGORIA";"CO_IPRESS";"RAZON_SOC";"SEXO";"EDAD";"NRO_TOTAL_ATENCIONES";"NRO_TOTAL_ATENDIDOS"
"2026";"01";"080803";"CUSCO";"ESPINAR";"COPORAQUE";"GOBIERNO REGIONAL";"I-3";"00002412";"COPORAQUE";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080807";"CUSCO";"ESPINAR";"SUYCKUTAMBO";"GOBIERNO REGIONAL";"I-2";"00002419";"SUYKUTAMBO";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080801";"CUSCO";"ESPINAR";"ESPINAR";"GOBIERNO REGIONAL";"I-2";"00030366";"MENTAL COMUNITARIO ESPINAR ""MUSUQ KAWSAY""";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080801";"CUSCO";"ESPINAR";"ESPINAR";"GOBIERNO REGIONAL";"I-4";"00002410";"YAURI";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080802";"CUSCO";"ESPINAR";"CONDOROMA";"GOBIERNO REGIONAL";"I-2";"00002411";"CONDOROMA";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080805";"CUSCO";"ESPINAR";"PALLPATA";"GOBIERNO REGIONAL";"I-3";"00002416";"PALLPATA";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080808";"CUSCO";"ESPINAR";"ALTO PICHIGUA";"GOBIERNO REGIONAL";"I-2";"00002420";"ACCOCUNCA";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080806";"CUSCO";"ESPINAR";"PICHIGUA";"GOBIERNO REGIONAL";"I-2";"00034450";"PICHIGUA ESPINAR";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080803";"CUSCO";"ESPINAR";"COPORAQUE";"GOBIERNO REGIONAL";"I-2";"00002413";"URINSAYA";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"080801";"CUSCO";"ESPINAR";"ESPINAR";"GOBIERNO REGIONAL";"I-1";"00006745";"TINTAYA MARQUIRI";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"1";"16";"14"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"2";"38";"33"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"3";"40";"33"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"4";"16";"15"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"5";"14";"12"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"6";"26";"24"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"7";"28";"25"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"8";"18";"16"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"9";"20";"17"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"10";"21";"18"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"11";"12";"12"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"12";"12";"10"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"13";"8";"7"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"14";"23";"13"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"1";"15";"53";"40"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"1";"30";"10"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"2";"78";"32"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"3";"56";"21"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"4";"34";"15"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"5";"74";"35"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"6";"64";"29"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"7";"124";"47"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"8";"70";"32"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"9";"56";"27"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"10";"48";"22"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"11";"40";"19"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"12";"58";"28"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"13";"44";"19"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"14";"30";"15"
"2026";"01";"110401";"ICA";"PALPA";"PALPA";"GOBIERNO REGIONAL";"II-1";"00003458";"DE APOYO DE PALPA";"2";"15";"94";"36"
"2026";"01";"040101";"AREQUIPA";"AREQUIPA";"AREQUIPA";"PRIVADO";"II-E";"00016486";"CLINICA DE OJOS Y LA VISTA FUNDAR E.I.R.L.";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-2";"00004618";"PORCON BAJO";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060105";"CAJAMARCA";"CAJAMARCA";"ENCA?ADA";"GOBIERNO REGIONAL";"I-2";"00004615";"YANACANCHA BAJA";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-3";"00004620";"HUAMBOCANCHA BAJA";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060105";"CAJAMARCA";"CAJAMARCA";"ENCA?ADA";"GOBIERNO REGIONAL";"I-1";"00009857";"YANACANCHA GRANDE";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-1";"00004616";"PURUAY ALTO";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-2";"00004617";"PORCON ALTO";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-1";"00032439";"PUESTO DE SALUD TUAL";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-1";"00024669";"PORCON LA ESPERANZA";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-1";"00004612";"CHILIMPAMPA";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-1";"00004613";"GRANJA PORCON";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060105";"CAJAMARCA";"CAJAMARCA";"ENCA?ADA";"GOBIERNO REGIONAL";"I-1";"00004614";"CHANTA ALTA";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"060101";"CAJAMARCA";"CAJAMARCA";"CAJAMARCA";"GOBIERNO REGIONAL";"I-2";"00004619";"HUAMBOCANCHA ALTA";"NE_0002";"NE_0002";"NE_0002";"NE_0002"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"3";"4";"2"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"4";"11";"3"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"5";"5";"2"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"6";"9";"3"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"8";"3";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"9";"2";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"10";"5";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"13";"3";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"14";"6";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"1";"15";"8";"2"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"2";"2";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"3";"2";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"4";"9";"3"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"6";"12";"4"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"7";"5";"2"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"8";"2";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"9";"3";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"10";"7";"2"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"11";"12";"3"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"13";"2";"1"
"2026";"01";"100101";"HUANUCO";"HUANUCO";"HUANUCO";"PRIVADO";"II-E";"00035260";"CLINICA BOLIVAR";"2";"15";"10";"3"
"2026";"01";"140102";"LAMBAYEQUE";"CHICLAYO";"CHONGOYAPE";"GOBIERNO REGIONAL";"I-3";"00004326";"PAMPA GRANDE";"NE_0001";"NE_0001";"NE_0001";"NE_0001"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"1";"4";"4"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"2";"13";"13"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"4";"5";"5"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"5";"3";"3"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"8";"8";"8"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"9";"2";"2"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"10";"4";"4"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"11";"6";"6"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"14";"8";"8"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"1";"15";"3";"3"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"2";"1";"5";"5"
"2026";"01";"060601";"CAJAMARCA";"CUTERVO";"CUTERVO";"PRIVADO";"I-3";"00017500";"CLINICA ASUNCION EIRL";"2";"2";"6";"6"
